appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
35140,Batman: Arkham Asylum Game of the Year Edition,WB Games,Fighting,$10m ($6.1m - $13.8m),$198.6m,6739.0,96.13,3500000.0,10.182599369111555
1689620,BLEACH Rebirth of Souls,Bandai Namco Entertainment Inc.,Fighting,$5.7m ($3.6m - $7.7m),$237.6m,6611.0,67.38,150000.0,7.2289947630616
1602010,Persona 4 Arena Ultimax,SEGA,Fighting,$3.8m ($2.1m - $5.4m),$1.6b,5628.0,87.04,350000.0,9.211272875855279
578620,GORN,Devolver Digital,Fighting,$8.3m ($4.8m - $11.8m),$501.4m,5261.0,94.38,350000.0,9.949574328414005
1372110,JoJo's Bizarre Adventure: All-Star Battle R,Bandai Namco Entertainment,Fighting,$11.6m ($8.1m - $15.2m),$1.7b,5023.0,90.15,350000.0,9.535237376673376
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,BANDAI NAMCO Entertainment,Fighting,$10.8m ($6.9m - $14.7m),$478.1m,4677.0,89.16,750000.0,9.444637649112048
2492040,FATAL FURY: City of the Wolves,SNK CORPORATION,Fighting,$4.4m ($3.3m - $5.5m),$35.7m,4592.0,82.31,75000.0,8.683287202376603
394310,Punch Club,tinyBuild,Fighting,$4.8m ($3.4m - $6.3m),$179.6m,4277.0,82.07,1500000.0,8.73242014085586
331600,One Piece Pirate Warriors 3,BANDAI NAMCO Entertainment,Fighting,$9m ($6.8m - $11.2m),$478.1m,4242.0,80.08,750000.0,8.53096266722203
245170,Skullgirls 2nd Encore,Autumn Games,Fighting,$10.2m ($6.8m - $13.7m),$10.2m,3916.0,88.96,3500000.0,9.43635631065672
2918150,ONE PIECE Bounty Rush,Bandai Namco Entertainment Inc.,Fighting,$4m ($1.8m - $6.2m),$237.6m,3891.0,0.0,350000.0,0.48841755345257726
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,"KOEI TECMO GAMES CO., LTD.",Fighting,$19.3m ($13m - $25.7m),$424.5m,3851.0,83.93,1500000.0,8.93908798567473
1163550,Captain Tsubasa: Rise of New Champions,BANDAI NAMCO Entertainment,Fighting,$5.1m ($3.1m - $7m),$478.1m,3630.0,72.36,350000.0,7.728794406010911
493840,Marvel vs. Capcom: Infinite,Capcom,Fighting,$2.4m ($1.5m - $3.4m),$248m,3592.0,67.32,350000.0,7.210696602490229
495910,Dungeon Fighter Online,Neople,Fighting,$13.6m ($9.1m - $18.1m),$13.6m,3441.0,64.287,750000.0,6.935937242934024
1335200,Action Taimanin,Infini-Brain inc.,Fighting,$25.1m ($16.3m - $33.8m),$25.1m,3400.0,0.0,1500000.0,0.533938184196197
1090630,Granblue Fantasy: Versus,XSEED Games,Fighting,$14.7m ($8.4m - $21.1m),$125.7m,3367.0,83.14,350000.0,8.814136169115347
418340,RWBY: Grimm Eclipse,FarBridge,Fighting,$4.9m ($3m - $6.7m),$4.9m,3224.0,81.34,750000.0,8.620003583658093
1343240,Thymesia,Team17,Fighting,$4.2m ($3m - $5.4m),$491.6m,3194.0,83.71,750000.0,8.874210604160243
1123770,Curse of the Dead Gods,Focus Entertainment,Fighting,$6.5m ($4.1m - $8.8m),$728.4m,2971.0,84.72,750000.0,8.981003267013357
285900,Gang Beasts,Boneloaf,Fighting,$48.1m ($34m - $62.2m),$48.1m,2946.0,85.65,3500000.0,9.125734601457259
3027930,Karate Survivor,Alawar,Fighting,$581.5k ($397.3k - $765.7k),$13.3m,2923.0,85.35,350000.0,8.974169134722782
383980,Rivals of Aether,Aether Studios,Fighting,$12.5m ($9.3m - $15.7m),$18.8m,2828.0,96.4,1500000.0,10.156858065624004
702890,BlazBlue: Cross Tag Battle,Arc System Works,Fighting,$4.6m ($2.8m - $6.5m),$87.6m,2746.0,81.26,350000.0,8.601381549642062
248570,Toribash,"Nicalis, Inc.",Fighting,0,$84.8m,2648.0,76.43700000000001,3500000.0,8.091405164426472
