appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players
383180,Dead Island: Riptide Definitive Edition,Deep Silver,Adventure,$3.5m ($1.8m - $5.2m),$567.3m,20450.0
298110,Far Cry® 4,Ubisoft,Adventure,$54.9m ($43.8m - $66m),$2.4b,16946.0
2375550,Like a Dragon Gaiden: The Man Who Erased His Name,SEGA,Adventure,$9.6m ($7.2m - $12.1m),$1.6b,13737.0
700330,SCP: Secret Laboratory,Northwood Studios,Adventure,0,$0 ,13662.0
751780,Forager,Humble Games,Adventure,$23.1m ($15.3m - $30.9m),$202.5m,13403.0
324800,Shadow Warrior 2,Devolver Digital,Adventure,$34.4m ($19.2m - $49.5m),$501.4m,12484.0
365360,Battle Brothers,Overhype Studios,Adventure,$11.1m ($7.3m - $14.9m),$11.1m,8055.0
527230,For The King,Curve Games,Adventure,$25.2m ($15.3m - $35.1m),$196.4m,9840.0
1041720,Kingdoms of Amalur: Re-Reckoning,THQ Nordic,Adventure,$13.2m ($8.8m - $17.6m),$387.4m,6219.0
414340,Hellblade: Senua's Sacrifice,Ninja Theory,Adventure,$25.3m ($16.2m - $34.4m),$26m,5619.0
32370,STAR WARS Knights of the Old Republic,LucasArts,Adventure,$14.7m ($9.5m - $20m),$124.9m,5593.0
614570,Dishonored: Death of the Outsider,Bethesda Softworks,Adventure,$5.7m ($3.6m - $7.7m),$2.1b,6036.0
20500,Red Faction Guerrilla Steam Edition,Deep Silver,Adventure,0,$567.3m,5570.0
822240,Animal Jam,"WildWorks, Inc.",Adventure,$1.9m ($994.4k - $2.9m),$1.9m,5448.0
1239020,TOGETHER BnB,AURORA Games,Adventure,$5m ($3.2m - $6.8m),$5.1m,4910.0
2776450,Multiverse Loot Hunter,游戏养家工作室,Adventure,$588.8k ($380.9k - $796.8k),$919.8k,4139.0
636480,Ravenfield,SteelRaven7,Adventure,$14.5m ($9.5m - $19.5m),$14.5m,3927.0
50620,Darksiders,THQ Nordic,Adventure,0,$387.4m,3888.0
1796470,Haste,Landfall,Adventure,$6.6m ($4.6m - $8.7m),$200.8m,3831.0
365420,Apollo4x,Volens Nolens Games,Adventure,$4.7k ($2.3k - $7.1k),$658.4k,3766.0
397060,Faeria,Versus Evil,Adventure,$4.8m ($1.1m - $8.5m),$33.5m,3638.0
247000,Talisman: Digital Edition,Nomad Games,Adventure,$5.1m ($3.2m - $7m),$6m,3590.0
33230,Assassin's Creed 2,Ubisoft,Adventure,$27.1m ($20.1m - $34.1m),$2.4b,3582.0
269770,Secrets of Grindea,Pixel Ferrets,Adventure,$4.7m ($3.5m - $5.9m),$4.7m,3397.0
1816300,HARVESTELLA,Square Enix,Adventure,$4.7m ($3.1m - $6.4m),$1b,3354.0
407130,Tank Mechanic Simulator,PlayWay S.A.,Adventure,$3.9m ($2.4m - $5.4m),$275.8m,2934.0
239350,Spelunky,Mossmouth,Adventure,$6.9m ($4.8m - $9m),$23.4m,2854.0
1726400,The Death | Thần Trùng,DUT Studio,Adventure,$165.8k ($99.5k - $232.1k),$165.8k,2882.0
937170,Otaku's Adventure,Spacelight Studio,Adventure,$1.2m ($789.1k - $1.7m),$1.2m,2787.0
1466640,Road 96 ,THQ Nordic,Adventure,$7.3m ($5.2m - $9.4m),$387.4m,2260.0
581600,The Albatross,FlagmanJeremy,Adventure,$2.8k ($1.1k - $4.5k),$28.6k,2515.0
291170,Royal Defense,8Floor,Adventure,$22.1k ($12k - $32.1k),$3.8m,2375.0
203350,King's Bounty: Warriors of the North,Fulqrum Publishing,Adventure,$375.5k ($230.2k - $520.8k),$51.6m,2198.0
1140440,OMON Simulator,United Nations,Adventure,$53.3k ($31.1k - $75.5k),$53.3k,2049.0
1120810,Eastern Exorcist,Wildfire Game（无锡野火数字科技有限公司）,Adventure,$1.3m ($860.9k - $1.7m),$1.3m,2037.0
1530160,Digimon World: Next Order,Bandai Namco Entertainment,Adventure,$4.5m ($2.9m - $6.1m),$1.7b,1669.0
2369900,Castlevania Dominus Collection,KONAMI,Adventure,$2.3m ($1.5m - $3.1m),$639.8m,1781.0
547680,Guild Quest,Hyper Hippo Games,Adventure,$3.4k ($2.4k - $4.4k),$10m,1691.0
275670,Space Run,Focus Entertainment,Adventure,$1.5m ($1.1m - $1.9m),$728.4m,1466.0
593280,Cat Quest,Kepler Interactive,Adventure,$2.5m ($1.5m - $3.4m),$249.7m,1509.0
538680,The Legend of Heroes: Trails of Cold Steel,XSEED Games,Adventure,$5.1m ($3.4m - $6.8m),$125.7m,1601.0
2827230,Wild Assault,Combat Cat Studio,Adventure,$838.5k ($527.9k - $1.1m),$833.5k,1441.0
356040,Sheltered,Team17 Digital Ltd,Adventure,$3.2m ($2m - $4.4m),$25.9m,1385.0
1282150,SpongeBob SquarePants: The Cosmic Shake,THQ Nordic,Adventure,$5.5m ($3.4m - $7.7m),$387.4m,1334.0
