appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
2780980,LOCKDOWN Protocol,Mirage Creative Lab,Casual,$11.4m ($7.3m - $15.5m),$11.4m,9318.0,86.46,1500000.0,0.636961562923971
644560,Mirror,Paradise Project,Casual,$3m ($1.5m - $4.5m),$3m,8116.0,96.33,3500000.0,0.6364371530968239
1649080,Two Point Campus,SEGA,Casual,$8.5m ($4m - $13m),$1.6b,7510.0,88.93,750000.0,0.6341251239672869
1341290,We Were Here Forever,Total Mayhem Games,Casual,$14.1m ($8.7m - $19.5m),$34.2m,8369.0,91.13,750000.0,0.6305736071356342
341800,Keep Talking and Nobody Explodes,Steel Crate Games,Casual,$3.6m ($2m - $5.1m),$3.6m,3359.0,97.45,1500000.0,0.5946724714529834
1296610,Peglin,Red Nexus Games Inc.,Casual,$13.7m ($9.8m - $17.5m),$13.7m,3748.0,83.33,750000.0,0.5935358861191389
1009560,The Tenants,Frozen District,Casual,$6.4m ($3.9m - $8.8m),$99.1m,4258.0,79.73,750000.0,0.5912875273961845
1629520,A Little to the Left,Secret Mode,Casual,$14.9m ($8.8m - $21m),$74.5m,3128.0,91.9,350000.0,0.5879143817125344
1594940,Little Witch in the Woods,SUNNY SIDE UP,Casual,$4.9m ($3.4m - $6.4m),$4.9m,4748.0,88.91,750000.0,0.5870997599373244
397460,The Jackbox Party Pack 2,"Jackbox Games, Inc.",Casual,$3.5m ($2.1m - $4.8m),$65.9m,4929.0,95.72,350000.0,0.5842388402195002
1245560,Roots of Pacha,Soda Den,Casual,$3.4m ($2.2m - $4.7m),$3.4m,6062.0,93.69,350000.0,0.575495547322706
255710,Cities: Skylines,Paradox Interactive,City Builder,$162.5m ($109.5m - $215.6m),$1.1b,57421.0,92.96,15000000.0,0.809632895733843
1466860,Age of Empires IV: Anniversary Edition,Xbox Game Studios,City Builder,$90.1m ($63.6m - $116.7m),$1.8b,73629.0,86.14,3500000.0,0.771414101591213
703080,Planet Zoo,Frontier Developments,City Builder,$118.6m ($73.4m - $163.7m),$430.9m,38457.0,91.05,3500000.0,0.7540854890393145
493340,Planet Coaster,Frontier Developments,City Builder,$91.7m ($57.9m - $125.6m),$430.9m,21828.0,91.08,3500000.0,0.7328290797501475
233450,Prison Architect,Paradox Interactive,City Builder,$34.9m ($23.9m - $45.9m),$1.1b,16211.0,89.64,7500000.0,0.7292195253492968
916440,Anno 1800,Ubisoft,City Builder,$41.6m ($25.7m - $57.5m),$2.4b,25214.0,81.78,1500000.0,0.7048459635672095
1244460,Jurassic World Evolution 2,Frontier Developments,City Builder,$49.1m ($30.7m - $67.5m),$430.9m,20921.0,90.52,1500000.0,0.7028776060730298
242920,Banished,Shining Rock Software LLC,City Builder,$19.1m ($14.7m - $23.5m),$19.1m,24568.0,90.08,3500000.0,0.6993314238433745
933110,Age of Empires III: Definitive Edition,Xbox Game Studios,City Builder,$19.7m ($7.8m - $31.6m),$1.8b,18142.0,84.21,1500000.0,0.6849822055215744
492720,Tropico 6,Kalypso Media,City Builder,$42.5m ($26.1m - $59m),$91.9m,15170.0,87.81,1500000.0,0.6814863870562083
1062090,Timberborn,Mechanistry,City Builder,$32.1m ($20.7m - $43.5m),$32m,13017.0,95.92,1500000.0,0.676273037572437
1601580,Frostpunk 2,11 bit studios,City Builder,$27.6m ($19.9m - $35.4m),$176.2m,14925.0,74.83,750000.0,0.6489471763598847
1465460,Infection Free Zone,Games Operators,City Builder,$14m ($10.2m - $17.8m),$28.2m,19378.0,79.91,750000.0,0.6444098308119418
1455840,Dorfromantik,Toukana Interactive,City Builder,$14.7m ($9.1m - $20.4m),$16.4m,7063.0,96.64,1500000.0,0.6438349738220568
2688950,Planet Coaster 2,Frontier Developments,City Builder,$15.2m ($10.7m - $19.7m),$430.9m,13648.0,70.73,350000.0,0.6201399268206875
333420,Cossacks 3,GSC Game World,City Builder,$10.4m ($7.3m - $13.5m),$20.3m,5533.0,81.69,1500000.0,0.6171712282416922
503940,Railway Empire,Kalypso Media,City Builder,$16m ($10.2m - $21.8m),$91.9m,5404.0,82.63,750000.0,0.6145772855432468
1509510,Settlement Survival,Team17,City Builder,$6.8m ($4.3m - $9.2m),$491.6m,5597.0,86.23,350000.0,0.5969291761646516
933820,Endzone - A World Apart,Assemble Entertainment,City Builder,$7.3m ($4.3m - $10.4m),$24.3m,6374.0,76.15,750000.0,0.5960890684763167
1937500,Let's School,Pathea Games,City Builder,$5.2m ($3.4m - $7.1m),$29.2m,7240.0,92.76,350000.0,0.5954529107468639
1203220,NARAKA: BLADEPOINT,NetEase Games Global,Fighting,$379.2m ($262.3m - $496.1m),$379.2m,385770.0,72.68,15000000.0,0.8560838712727977
1790600,DRAGON BALL: Sparking! ZERO,Bandai Namco Entertainment,Fighting,$89.5m ($64.3m - $114.7m),$1.7b,120000.0,88.76,3500000.0,0.788831086380454
678950,DRAGON BALL FighterZ,Bandai Namco Entertainment,Fighting,$54.6m ($39.2m - $69.9m),$1.7b,44234.0,90.91,3500000.0,0.7528799278014429
