Selected_Genre,appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players,is_non_game
Action,487120,Citadel: Forged with Fire,"Action, Adventure, Indie, Massively Multiplayer, RPG, Survival",,,,Blue Isle Studios,Blue Isle Publishing,9.0,steamspy,7720.0,False
Action,1256670,Library Of Ruina,"Action, Card & Board, Horror, Indie, RPG, Strategy, Visual Novel",,,,ProjectMoon,ProjectMoon,1565.0,steamspy,7211.0,False
Action,42160,War of the Roses,"Action, Adventure, Fighting, Massively Multiplayer, RPG, Strategy",,,,Fatshark,Paradox Interactive,2.0,steamspy,6331.0,False
Action,385400,Weapons Genius,"Action, Casual, Indie, Shooter, Simulation, Strategy, Survival",,,,"JDM4iK, Droid Riot",Conglomerate 5,3.0,steamspy,5985.0,False
Action,640380,UBERMOSH Vol.5,"Action, Indie, Roguelike, Shooter",,,,Walter Machado,Walter Machado,16.0,steamspy,5932.0,False
Action,412880,Drift Streets Japan,"Action, Indie, Massively Multiplayer, Racing, Simulation, Sports",,,,JDM4iK Games,"SA Industry, BATYSTORE LTD",3.0,steamspy,5559.0,False
Action,285160,LEGO The Hobbit,"Action, Adventure, Puzzle, RPG, Strategy",,,,"Traveller's Tales, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",63.0,steamspy,5549.0,False
Action,2000890,MechWarrior 5: Clans,"Action, Shooter, Simulation",,,,Piranha Games Inc.,Piranha Games Inc.,149.0,steamspy,5548.0,False
Action,2294660,The Quinfall,"Action, Adventure, Massively Multiplayer, RPG",,,,Vawraek Technology Inc.,Vawraek Technology Inc.,354.0,steamspy,5184.0,False
Action,617830,SUPERHOT VR,"Action, Adventure, Puzzle, Shooter",,,,SUPERHOT Team,SUPERHOT Team,16.0,steamspy,4734.0,False
Action,450860,Andarilho,"Action, Adventure, Casual, Indie, Racing, Simulation, Survival",,,,SC Jogos,SC Jogos,0.0,steamspy,3904.0,False
Action,1150530,Wizard with a Gun,"Action, Adventure, Shooter",,,,Galvanic Games,Devolver Digital,76.0,steamspy,3844.0,False
Action,268130,Heat Signature,"Action, Adventure, Indie, Roguelike, Shooter, Strategy",,,,Suspicious Developments,Suspicious Developments,39.0,steamspy,3825.0,False
Action,239250,Castlevania: Lords of Shadow 2,"Action, Adventure, Horror, Metroidvania, RPG",,,,MercurySteam,KONAMI,20.0,steamspy,3784.0,False
